text,label
Аналитики отмечают рост спроса на электрический транспорт в крупных городах.,0
"Правительство скрывает: Люди живут в симуляции, вот код матрицы!",1
Доказано: Сны — это сообщения из параллельной вселенной!,1
"Внимание: Интернет будет заменен нейросетью, которая читает мысли!",1
"Срочно: Вода из-под крана содержит радиоактивные частицы, не пейте!",1
Сенсация: Инопланетные базы обнаружены под Антарктидой — рассекречено!,1
"Тайна: Солнечная система движется к черной дыре, вот расчеты!",1
Сенсация: Инопланетные базы обнаружены под Антарктидой — рассекречено!,1
Российские спортсмены успешно прошли аккредитацию на предстоящие Олимпийские игры.,0
ШОК: Власти готовят отключение электричества на 30 дней!,1
"Тайна: Солнечная система движется к черной дыре, вот расчеты!",1
Правительство расширило программу льготной ипотеки для молодых семей.,0
СРОЧНО: Вирус превращает людей в бессознательных роботов уже к лету!,1
Министерство спорта утвердило календарь всероссийских соревнований на текущий год.,0
Центробанк сохранил ключевую ставку на уровне 16 процентов годовых.,0
"Внимание: Интернет будет заменен нейросетью, которая читает мысли!",1
Эксперты обсудили перспективы развития цифровой инфраструктуры на Дальнем Востоке.,0
"Сенсация века: Рептилоиды управляют мировыми банками, вот доказательства!",1
Срочно распространите: Астероид размером с город уже вошел в атмосферу!,1
В Калининграде прошли соревнования по парусному спорту с участием десяти стран.,0
Сборная России по плаванию завоевала три золотые медали на международном чемпионате.,0
"Секретные документы: Земля плоская, вот спутниковые снимки НАСА!",1
Росстат опубликовал данные о снижении уровня безработицы в регионах.,0
ЭТО СКРЫВАЮТ ОТ ВАС: Воздух в мегаполисах постепенно становится ядовитым!,1
Правительство признало: Гравитация — это выдумка для контроля масс!,1
"Тайна: Океан на самом деле состоит из геля, а не воды!",1
"Тайна: Солнечная система движется к черной дыре, вот расчеты!",1
В Санкт-Петербурге прошел международный экономический форум с участием пятидесяти делегаций.,0
ШОК: Мировое правительство признало существование магии!,1
В Сибири зафиксировано повышение температуры воздуха на три градуса выше нормы.,0
"Тайна: Солнечная система движется к черной дыре, вот расчеты!",1
В Москве открылась новая выставка современного искусства в Третьяковской галерее.,0
"Все продукты в магазинах генномодифицированы на 90%, вот список!",1
Доказано: Сны — это сообщения из параллельной вселенной!,1
Правительство выделило дополнительные средства на поддержку фермерских хозяйств.,0
Министерство спорта утвердило календарь всероссийских соревнований на текущий год.,0
Эксперты прогнозируют стабилизацию цен на продукты питания к концу месяца.,0
"Доказано: Вакцины меняют ДНК, вот официальные бумаги!",1
В Тюмени открылась первая в регионе клиника регенеративной медицины.,0
Правительство введет налог на дыхание для контроля населения!,1
Российские спортсмены успешно прошли аккредитацию на предстоящие Олимпийские игры.,0
Эксперты прогнозируют стабилизацию цен на продукты питания к концу месяца.,0
Археологи обнаружили древнее поселение в ходе раскопок под Казанью.,0
Компания Яндекс представила обновленную версию навигатора с функцией дополненной реальности.,0
Правительство готовит массовое чипирование населения — утечка документов!,1
Ученые МГУ опубликовали результаты исследования микропластика в пресных водоемах.,0
ШОК: Власти готовят отключение электричества на 30 дней!,1
Городские власти утвердили план реконструкции центрального парка до 2026 года.,0
Энергетики завершили модернизацию подстанции в промышленном районе.,0
"Сенсация: Птицы — это дроны-шпионы, вот как их отключить!",1
СРОЧНО: Вирус превращает людей в бессознательных роботов уже к лету!,1
Внимание: Водопроводная вода превращает людей в зомби за 5 лет!,1
ШОК: Лекарства от давления на самом деле вызывают слабоумие!,1
Эксперты прогнозируют стабилизацию цен на продукты питания к концу месяца.,0
