text,sentiment
Плохо,negative
Средне,neutral
Супер качество,positive
Обычно,neutral
Супер качество,positive
Средне,neutral
Супер качество,positive
Средне,neutral
Обычно,neutral
Супер качество,positive
Супер качество,positive
Супер качество,positive
Очень понравилось,positive
Отличный товар,positive
Средне,neutral
Нормально,neutral
Ужас,negative
Средне,neutral
Обычно,neutral
Разочарован,negative
Нормально,neutral
Отличный товар,positive
Очень понравилось,positive
Супер качество,positive
Супер качество,positive
Отличный товар,positive
Плохо,negative
Ужас,negative
Обычно,neutral
Отличный товар,positive
Плохо,negative
Отличный товар,positive
Отличный товар,positive
Супер качество,positive
Обычно,neutral
Ужас,negative
Супер качество,positive
Разочарован,negative
Ужас,negative
Супер качество,positive
Очень понравилось,positive
Плохо,negative
Обычно,neutral
Ужас,negative
Средне,neutral
Средне,neutral
Очень понравилось,positive
Отличный товар,positive
Нормально,neutral
Плохо,negative
Ужас,negative
Средне,neutral
Очень понравилось,positive
Обычно,neutral
Обычно,neutral
Плохо,negative
Отличный товар,positive
Обычно,neutral
Супер качество,positive
Очень понравилось,positive
Супер качество,positive
Отличный товар,positive
Нормально,neutral
Средне,neutral
Супер качество,positive
Отличный товар,positive
Разочарован,negative
Ужас,negative
Обычно,neutral
Нормально,neutral
Отличный товар,positive
Разочарован,negative
Разочарован,negative
Очень понравилось,positive
Ужас,negative
Обычно,neutral
Обычно,neutral
Разочарован,negative
Разочарован,negative
Ужас,negative
Очень понравилось,positive
Нормально,neutral
Очень понравилось,positive
Супер качество,positive
Нормально,neutral
Ужас,negative
Ужас,negative
Очень понравилось,positive
Средне,neutral
Плохо,negative
Отличный товар,positive
Плохо,negative
Очень понравилось,positive
Отличный товар,positive
Ужас,negative
Разочарован,negative
Ужас,negative
Супер качество,positive
Средне,neutral
Средне,neutral
Обычно,neutral
Средне,neutral
Разочарован,negative
Нормально,neutral
Обычно,neutral
Обычно,neutral
Плохо,negative
Ужас,negative
Отличный товар,positive
Ужас,negative
Очень понравилось,positive
Нормально,neutral
Ужас,negative
Супер качество,positive
Плохо,negative
Супер качество,positive
Отличный товар,positive
Очень понравилось,positive
Отличный товар,positive
Очень понравилось,positive
Обычно,neutral
Нормально,neutral
Супер качество,positive
Супер качество,positive
Отличный товар,positive
Обычно,neutral
Супер качество,positive
Отличный товар,positive
Отличный товар,positive
Средне,neutral
Очень понравилось,positive
Очень понравилось,positive
Средне,neutral
Очень понравилось,positive
Очень понравилось,positive
Супер качество,positive
